year,min_close,max_close,Dividends,max_div_yield,min_div_yield
2005,1.813459,2.146744,0.029383999999999997,0.016203288852960004,0.013687705660292981
2006,1.793859,2.617261,0.116955,0.06519743190518318,0.04468602863833603
2007,2.146744,3.215214,0.12975599999999998,0.06044316415930357,0.04035687826688985
2008,1.0970010000000001,2.6405689999999997,0.14692100000000002,0.13392968648159848,0.05563990185448668
2009,1.036018,2.0427150000000003,0.133272,0.1286386916057443,0.0652425815642417
2010,1.7788240000000002,2.2381900000000003,0.12370299999999998,0.06954201202592272,0.05526921306948917
2011,1.7885970000000002,2.140453,0.128585,0.07189154404262112,0.06007373205578446
2012,1.813032,2.443439,0.137079,0.07560760096898456,0.05610084802608127
2013,2.0427150000000003,2.795295,0.135125,0.06614970761951618,0.04834015730003452
2014,2.0427150000000003,2.414118,0.1403,0.06868310067728488,0.05811646323833383
2015,2.1111310000000003,2.619367,0.17766900000000002,0.08415820714110114,0.06782898310927794
2016,2.083859,2.5045439999999997,0.120785,0.05796217498400804,0.04822634379751365
2017,2.259959,2.690428,0.155909,0.06898753472961236,0.05794951583911556
2018,2.4262770000000002,2.778478,0.154112,0.06351789181532033,0.05546633804550549
2019,2.494761,3.140463,0.15763,0.06318440924802014,0.05019323583815507
2020,2.287588,3.566241,0.165056,0.072152852699,0.046282906847854646
2021,2.85,3.16,0.07308,0.025642105263157897,0.023126582278481012
