,Symbol,Security,Qty,Type,Open date,Adj cost per share,Adj cost
0,AAPL,APPLE INC,30,Buy,2015-08-26,106.79,3203.7
1,AAPL,APPLE INC,22,Buy,2017-09-27,154.66,3402.43
2,AMZN,AMAZON COM INC,4,Buy,2014-01-06,390.87,1563.48
3,AMZN,AMAZON COM INC,3,Buy,2017-04-27,920.72,2762.15
4,BABA,ALIBABA GROUP HOLDING LTD,20,Buy,2017-11-02,191.56,3831.15
5,BABA,ALIBABA GROUP HOLDING LTD,40,Buy,2017-11-03,186.69,7467.75
6,BIDU,BAIDU INC ADS,40,Buy,2017-11-01,251.13,10045.35
7,FB,FACEBOOK INC CL A,60,Buy,2014-01-06,54.79,3287.4
8,FB,FACEBOOK INC CL A,13,Buy,2014-01-29,53.64,697.32
9,FB,FACEBOOK INC CL A,17,Buy,2014-04-23,61.71,1049.07
10,FB,FACEBOOK INC CL A,4,Buy,2014-12-31,78.86,315.44
11,FB,FACEBOOK INC CL A,13,Sell.FIFO,2018-06-22,202.451,2631.86
12,FB,FACEBOOK INC CL A,7,Sell.FIFO,2018-06-23,202.45,1417.15
13,GLW,CORNING INC,100,Buy,2014-01-06,17.85,1784.99
14,GOOG,ALPHABET INC-CL C,2,Buy,2014-01-06,554.58,1109.16
15,GOOGL,ALPHABET INC-CL A,2,Buy,2014-01-06,557.89,1115.77
16,JD,JD COM INC,10,Buy,2018-01-04,44.39,443.85
17,LNG,Cheniere Energy,30,Buy,2014-01-06,42.87,1286.1
18,LNG,Cheniere Energy,30,Sell.FIFO,2017-09-15,43.64,1309.12
19,NFLX,NETFLIX INC,10,Buy,2016-06-30,90.91,909.1
20,NVDA,NVIDIA CORPORATION,100,Buy,2017-09-18,186.53,18652.56
21,OSTK,OVERSTOCK COM INC,200,Buy,2017-10-30,44.63,8926.95
22,SQ,SQUARE INC CL A,1,Buy,2017-11-21,53.86,53.86
23,TSLA,TESLA INC,14,Buy,2014-02-18,204.16,2858.24
24,TSLA,TESLA INC,12,Buy,2014-09-16,258.34,3100.08
